City,Latitude,Max_Temp,Humidity,Cloudiness,Wind_Speed
Rizhao,35.43,41.98,69.0,64.0,5.28
,,,,,
Belmonte,40.36,33.7,82.0,92.0,1.59
Malanje,-9.54,67.27,86.0,80.0,6.29
Dhone,15.4,68.26,79.0,0.0,4.38
Yulara,-25.24,96.8,26.0,56.0,11.41
Ryotsu,38.08,46.4,42.0,40.0,17.22
Cam Ranh,11.92,84.2,62.0,40.0,16.11
Yar-Sale,66.83,0.4,94.0,12.0,5.17
Buchanan,5.88,79.96,100.0,48.0,5.17
Praia da Vitoria,38.73,62.6,82.0,40.0,24.52
Boguchany,58.38,14.62,71.0,68.0,6.06
Piranshahr,36.7,12.64,74.0,0.0,1.36
,,,,,
Pundaguitan,6.37,81.76,96.0,80.0,9.31
,,,,,
Inirida,3.87,73.48,97.0,36.0,2.04
Talcahuano,-36.72,57.2,93.0,0.0,5.82
Sarakhs,36.54,33.8,86.0,0.0,3.49
Pusad,19.91,62.5,50.0,0.0,9.42
Ullapool,57.9,34.51,100.0,0.0,7.96
Talas,38.69,3.2,91.0,0.0,2.71
Sume,43.62,33.8,94.0,75.0,1.12
Banjarmasin,-3.32,86.0,66.0,20.0,2.24
,,,,,
Raudeberg,61.99,39.2,100.0,92.0,17.22
Ornskoldsvik,63.29,14.0,78.0,12.0,8.05
Biak,-0.91,83.29,85.0,76.0,2.37
Ludvika,60.15,19.4,79.0,0.0,8.05
Provost,52.35,2.11,64.0,76.0,9.19
Monrovia,6.33,75.19,95.0,0.0,2.71
Henties Bay,-22.12,61.24,100.0,24.0,0.25
Lincoln,53.23,37.4,91.0,75.0,9.17
Chara,39.42,39.2,86.0,40.0,5.82
Vetlanda,57.43,21.2,92.0,0.0,3.36
Green Valley,40.41,34.16,81.0,90.0,12.75
Oil City,41.43,26.06,88.0,90.0,3.04
Rembang,-6.71,80.14,100.0,48.0,1.92
Manicore,-5.81,75.37,97.0,56.0,2.04
Ende,-8.84,80.5,100.0,20.0,4.38
Kajaani,64.22,1.4,84.0,90.0,4.7
Tigzirt,36.57,40.45,100.0,92.0,2.15
Bima,-8.45,76.18,100.0,92.0,2.93
Harrisonville,38.65,35.6,93.0,90.0,13.87
,,,,,
Salinas,36.67,55.94,77.0,1.0,6.93
Fayaoue,-20.65,79.6,98.0,8.0,17.47
Artyom,43.36,26.6,13.0,0.0,2.24
